^,,in the morning,english,,,in the morning,,,noun|adjective,{}
^,,early morning,english,,,early morning,,,noun|adjective,{}
-,A,aisiyok,kokborok,,,aisiyok,primary,si0yo-k,,"{""importance"": ""primary"", ""bangla"": ""\u0986\u0987\u09b8\u09bf\u09df\u0995\u0986\u09b8\u09bf\u09df\u0995""}"
^,,"a0i si0yo-k, a0si0yo-k",english,,,"a0i si0yo-k, a0si0yo-k",,,verb|noun,{}
^,,to fulfill the expectation even more,english,,,to fulfill the expectation even more,,,verb|noun,{}
^,,have aversion,english,,,have aversion,,,verb|noun,{}
^,,have disinclination,english,,,have disinclination,,,verb|noun,{}
^,,aversion,english,,,aversion,,,verb|noun,{}
^,,disinclination,english,,,disinclination,,,verb|noun,{}
^,,nature of  aversion,english,,,nature of  aversion,,,verb|noun,{}
^,,disinclination,english,,,disinclination,,,verb|noun,{}
-,A,aisiyokma,kokborok,,,aisiyokma,,,,"{""derived_from"": ""aisiyok""}"
^,,aversion,english,,,aversion,,,noun,{}
^,,disinclination,english,,,disinclination,,,noun,{}
-,A,aisiyokmu,kokborok,,,aisiyokmu,,,,"{""derived_from"": ""aisiyok""}"
^,,nature of  aversion,english,,,nature of  aversion,,,noun,{}
^,,disinclination,english,,,disinclination,,,noun,{}
-,A,aisuk,kokborok,,,aisuk,,su-k,,"{""bangla"": ""\u0986\u0987\u09b8\u09c1\u09c1\u0995""}"
^,,a0i su-k,english,,,a0i su-k,,,,{}
^,,to become morning,english,,,to become morning,,,,{}
-,A,aiyasak,kokborok,,,aiyasak,,ya0sa-k,,"{""bangla"": ""\u0986\u0987\u09df\u09be\u09b8\u09be\u0995""}"
^,,a0i ya0sa-k,english,,,a0i ya0sa-k,,,,{}
^,,till the dawn,english,,,till the dawn,,,,{}
^,,till the morning,english,,,till the morning,,,,{}
-,A,au,kokborok,,,au,,,,"{""bangla"": ""\u0986\u0989""}"
^,,yes,english,,,yes,,,indeclinable|verb,{}
^,,okay,english,,,okay,,,indeclinable|verb,{}
^,,"auhin,auhwn",english,,,"auhin,auhwn",,,indeclinable|verb,{}
^,,"a0o hi0n,a0o hu0n",english,,,"a0o hi0n,a0o hu0n",,,indeclinable|verb,{}
^,,to comment as yes,english,,,to comment as yes,,,indeclinable|verb,{}
-,A,aula,kokborok,,,aula,,un-arranged,,"{""bangla"": ""\u0986\u0989\u09b2\u09be""}"
^,,a0u la0,english,,,a0u la0,,,noun|adjective,{}
^,,disorder,english,,,disorder,,,noun|adjective,{}
^,,un-arranged,english,,,un-arranged,,,noun|adjective,{}
^,,arranged disorderly,english,,,arranged disorderly,,,noun|adjective,{}
-,A,auli,kokborok,,,auli,,aa-u,,"{""bangla"": ""\u0986\u0989\u09b2\u09bf"", ""xrefs"": [{""type"": ""alt_script"", ""target"": """"}]}"
^,,aa-u li0,english,,,aa-u li0,,,noun,{}
^,,city,english,,,city,,,noun,{}
^,,Agartala city,english,,,Agartala city,,,noun,{}
^,,auli khor,english,,,auli khor,,,noun,{}
^,,aa-u li0 kho0r,english,,,aa-u li0 kho0r,,,noun,{}
^,,capital Agartala,english,,,capital Agartala,,,noun,{}
-,A,aus,kokborok,,,aus,,,,"{""bangla"": ""\u0986\u0989\u09b8"", ""xrefs"": [{""type"": ""see_also"", ""target"": """"}]}"
^,,"rainy season,s paddy",english,,,"rainy season,s paddy",,,noun,{}
-,A,awai,kokborok,,,awai,,,,"{""bangla"": ""\u0986\u0989\u09be\u0987""}"
^,,announcement,english,,,announcement,,,,{}
-,A,awai khwlai,kokborok,,,awai khwlai,,,,"{""bangla"": ""\u0986\u0989\u09be\u0987 \u0996\u09cd\u09ac\u09b2\u09be\u0987""}"
^,,to make announcement,english,,,to make announcement,,,verb,{}
^,,announce,english,,,announce,,,verb,{}
-,A,awai khwlaijak,kokborok,,,awai khwlaijak,,ja-k,,"{""bangla"": ""\u0986\u0989\u09be\u0987 \u0996\u09cd\u09ac\u09b2\u09be\u0987\u099c\u09be\u0995""}"
^,,a0wa0i khw0la0i  ja-k,english,,,a0wa0i khw0la0i  ja-k,,,adjective,{}
^,,announced,english,,,announced,,,adjective,{}
^,,sprayed over as news,english,,,sprayed over as news,,,adjective,{}
-,A,awai khwlainay,kokborok,,,awai khwlainay,,na-y,,"{""bangla"": ""\u0986\u0989\u09be\u0987 \u0996\u09cd\u09ac\u09b2\u09be\u0987 \u09a8\u09be\u09df""}"
^,,a0wa0i khw0la0y na-y,english,,,a0wa0i khw0la0y na-y,,,noun|verb,{}
^,,announcer,english,,,announcer,,,noun|verb,{}
^,,be announced,english,,,be announced,,,noun|verb,{}
-,A,awai khwlaima,kokborok,,,awai khwlaima,,,,"{""bangla"": ""\u0986\u0989\u09be\u0987 \u0996\u09cd\u09ac\u09b2\u09be\u0987\u09ae\u09be""}"
^,,a0wa0i khw0la0i ma-,english,,,a0wa0i khw0la0i ma-,,,noun,{}
^,,announce,english,,,announce,,,noun,{}
^,,announcement,english,,,announcement,,,noun,{}
-,A,awai khwlaimung,kokborok,,,awai khwlaimung,,,,"{""bangla"": ""\u0986\u0989\u09be\u0987 \u0996\u09cd\u09ac\u09b2\u09be\u0987\u09ae\u09c1\u0999""}"
^,,a0wa0i khw0la0i mu0ng,english,,,a0wa0i khw0la0i mu0ng,,,noun,{}
^,,type of announcement,english,,,type of announcement,,,noun,{}
-,A,awainok,kokborok,,,awainok,,no-k,,"{""bangla"": ""\u0986\u0989\u09be\u0987 \u09a8\u0995""}"
^,,a0wa0i no-k,english,,,a0wa0i no-k,,,noun,{}
^,,announcing centre,english,,,announcing centre,,,noun,{}
-,A,awa tokke,kokborok,,,awa tokke,,to-k,,"{""bangla"": ""\u0986\u0989\u09be \u09a4\u0995\u0995\u09c7\u0986\u0989\u09be \u09a4\u0995\u09c7""}"
^,,"a0 wa to-k ke0,a0wa0to-ke0",english,,,"a0 wa to-k ke0,a0wa0to-ke0",,,noun,{}
^,,finishing,english,,,finishing,,,noun,{}
^,,it is called after finishing  of the telling a folk-tale,english,,,it is called after finishing  of the telling a folk-tale,,,noun,{}
-,A,awan,kokborok,,,awan,primary,ta-k,,"{""importance"": ""primary"", ""bangla"": ""\u0986\u0989\u09be\u09a8\u0986\u0989\u09be\u0999"", ""xrefs"": [{""type"": ""see_also"", ""target"": """"}]}"
^,,"a0wa0n,a0wa0ng",english,,,"a0wa0n,a0wa0ng",,,noun|verb,{}
^,,cake,english,,,cake,,,noun|verb,{}
^,,domestic cake,english,,,domestic cake,,,noun|verb,{}
^,,to make awan or cake for frying,english,,,to make awan or cake for frying,,,noun|verb,{}
^,,watered or water-mixed rice powder,english,,,watered or water-mixed rice powder,,,noun|verb,{}
^,,mui awanduru,english,,,mui awanduru,,,noun|verb,{}
^,,rice powder mixed curry,english,,,rice powder mixed curry,,,noun|verb,{}
^,,a rice cake prepared in the bamboo- pipe,english,,,a rice cake prepared in the bamboo- pipe,,,noun|verb,{}
^,,a type of rice cake,english,,,a type of rice cake,,,noun|verb,{}
^,,a type of  sticky rice-cake covered with a leaf(lairu),english,,,a type of  sticky rice-cake covered with a leaf(lairu),,,noun|verb,{}
^,,round shaped flat cake,english,,,round shaped flat cake,,,noun|verb,{}
^,,a kind of cake that boiled in steam,english,,,a kind of cake that boiled in steam,,,noun|verb,{}
^,,to make sokorang cake,english,,,to make sokorang cake,,,noun|verb,{}
^,,to boil cake,english,,,to boil cake,,,noun|verb,{}
^,,make or fry cake in a pan,english,,,make or fry cake in a pan,,,noun|verb,{}
^,,make cake,english,,,make cake,,,noun|verb,{}
-,A,awanta,kokborok,,,awanta,,,,"{""derived_from"": ""awan""}"
^,,to make awan or cake for frying,english,,,to make awan or cake for frying,,,verb,{}
-,A,awandu,kokborok,,,awandu,,,,"{""derived_from"": ""awan""}"
^,,watered or water-mixed rice powder,english,,,watered or water-mixed rice powder,,,noun,{}
-,A,awanpe,kokborok,,,awanpe,,,,"{""derived_from"": ""awan""}"
^,,a rice cake prepared in the bamboo- pipe,english,,,a rice cake prepared in the bamboo- pipe,,,noun,{}
-,A,awanbo,kokborok,,,awanbo,,,,"{""derived_from"": ""awan""}"
^,,a type of rice cake,english,,,a type of rice cake,,,noun,{}
-,A,awanba,kokborok,,,awanba,,,,"{""derived_from"": ""awan""}"
^,,a type of  sticky rice-cake covered with a leaf(lairu),english,,,a type of  sticky rice-cake covered with a leaf(lairu),,,noun,{}
-,A,awanbe,kokborok,,,awanbe,,,,"{""derived_from"": ""awan""}"
^,,round shaped flat cake,english,,,round shaped flat cake,,,noun,{}
-,A,awanso,kokborok,,,awanso,,,,"{""derived_from"": ""awan""}"
^,,a kind of cake that boiled in steam,english,,,a kind of cake that boiled in steam,,,noun,{}
-,A,awanso,kokborok,,,awanso,,,,"{""derived_from"": ""awan""}"
^,,to make sokorang cake,english,,,to make sokorang cake,,,verb,{}
-,A,awanso,kokborok,,,awanso,,,,"{""derived_from"": ""awan""}"
^,,to boil cake,english,,,to boil cake,,,verb,{}
-,A,awanse,kokborok,,,awanse,,,,"{""derived_from"": ""awan""}"
^,,make or fry cake in a pan,english,,,make or fry cake in a pan,,,verb,{}
-,A,awanse,kokborok,,,awanse,,,,"{""derived_from"": ""awan""}"
^,,make or fry cake in a pan,english,,,make or fry cake in a pan,,,verb,{}
-,A,awansw,kokborok,,,awansw,,,,"{""derived_from"": ""awan""}"
^,,make cake,english,,,make cake,,,verb,{}
-,A,awar,kokborok,,,awar,,a-wa0r,,"{""bangla"": ""\u0986\u0989\u09be\u09b0""}"
^,,a wide low land,english,,,a wide low land,,,noun,{}
-,A,awal,kokborok,,,awal,,a-wa0l,,"{""bangla"": ""\u0986\u0989\u09be\u09b2\u09b8\u09be\u09b2\u09be\u0982""}"
^,,a most hard tree,english,,,a most hard tree,,,noun,{}
-,A,awas,kokborok,,,awas,,a-wa-s,,"{""bangla"": ""\u0986\u0989\u09be\u09b8""}"
^,,will,english,,,will,,,noun,{}
^,,desire,english,,,desire,,,noun,{}
